name,latitude,longitude,district,pedestrian_traffic_estimate,metro_passenger_flow,distance_to_metro,public_transport_stops_count,cafes_300m,cafes_1km,average_competitor_rating,population_density,median_income,office_density,average_rent_m2,available_commercial_spaces,rating
Эгриси,55.6116873,37.6963392,Moscow,1305,62000,13778.90291475598,85,2,5,,6681,119345,44,1950,5,3.6
Unknown,55.6294407,37.6002154,Moscow,489,62000,11525.942993858225,85,0,7,,8250,90188,38,1700,8,3.6
Шоколадница,55.6715942,37.5534398,Moscow,806,79000,8083.665652162429,85,6,25,,7631,88282,14,2400,2,4.4
Шоколадница,55.757364,37.6316441,Moscow,1116,85000,276.21688301223725,85,12,186,,12215,107368,48,1700,7,3.5
На изумрудной,55.871815,37.6839384,Moscow,1468,94000,10806.387834959029,85,3,9,,5097,78720,29,1950,11,4.6
Кофе Хауз,55.8653693,37.7040352,Moscow,1108,94000,10398.788994246772,85,1,3,,7884,107860,47,2300,9,3.7
Кофе Хауз,55.7576428,37.6586654,Moscow,1099,68000,82.71753609780724,85,14,126,,11995,106436,18,2100,3,4.6
Pizzamento,55.6729122,37.664561,Moscow,978,62000,6685.941854548686,85,2,17,,13939,93737,27,1950,9,4.4
Москвич,55.7048721,37.7360995,Moscow,600,62000,6853.149071687057,85,0,13,,7784,90728,48,2400,13,4.7
Сбарро,55.6227585,37.6055185,Moscow,221,62000,12196.681797957735,85,4,8,,12086,89244,38,1700,0,4.7
Кальян,55.8959871,37.6195797,Moscow,352,54000,13054.602894998608,85,2,9,,7774,108009,13,2000,11,4.2
Unknown,55.6264956,37.8003361,Moscow,1297,62000,15488.654220504384,85,1,2,,9016,92593,30,2100,12,4.2
Шоколадница,55.7305169,37.6352842,Moscow,940,62000,120.11142895277776,85,22,130,,14932,98392,38,3500,8,3.7
Эссе,55.7990447,37.7747373,Moscow,622,94000,7912.490382698164,85,0,9,,13113,99849,13,2400,11,4.1
Му-Му,55.7897921,37.6809206,Moscow,209,94000,2231.3360669810922,85,11,19,,14534,75820,49,1900,3,4.3
Unknown,55.790264,37.6802253,Moscow,469,94000,2236.8484977008156,85,10,20,,10387,121019,10,2300,12,3.5
Unknown,55.6306283,37.7992384,Moscow,624,62000,15100.13165418976,85,0,5,,14995,81109,42,2300,12,4.7
Unknown,55.642514,37.7962183,Moscow,1344,62000,14014.773044883223,85,0,3,,6236,106288,14,1700,12,4.4
ЗаРайский Дворик,55.7297961,37.7707677,Moscow,1185,68000,7679.195080896723,85,0,8,,10462,76798,35,1700,10,4.0
Unknown,55.7181527,37.7839121,Moscow,613,68000,8988.243020991913,85,5,18,,9741,84999,17,2100,3,3.5
Легенда,55.8603061,37.4483248,Moscow,243,71000,12555.690391980877,85,2,10,,10900,123528,14,1800,7,3.9
Келлер,55.886287,37.6116799,Moscow,899,54000,11945.075436489125,85,2,12,,8231,74251,25,1700,13,3.9
Кафетериус,55.757282,37.5949512,Moscow,540,72000,1017.7702853545148,85,11,124,,14039,71762,46,2300,9,4.0
Финист,55.7964009,37.5835847,Moscow,1405,71000,2157.4379092673757,85,13,81,,7243,70619,30,1900,4,3.6
Unknown,55.7948327,37.7325016,Moscow,414,94000,5278.856851784917,85,1,15,,13271,85955,44,3500,10,4.5
Очаг,55.7213512,37.7337973,Moscow,1374,62000,6155.597448440341,85,2,11,,14368,88785,16,2100,1,4.6
Пушкинъ,55.7634115,37.6046705,Moscow,318,72000,105.82904804817245,85,17,148,,12502,72324,42,1700,13,4.3
Папа Джонс,55.7212034,37.6235815,Moscow,1337,62000,1375.746533255599,85,6,76,,12994,77102,27,1800,9,3.6
Unknown,55.6147365,37.5144143,Moscow,981,79000,14719.167921165288,85,0,9,,13215,120344,38,2300,11,4.0
Шоколадница,55.7428169,37.4285202,Moscow,622,79000,8543.504165549093,85,2,9,,8835,92513,16,1800,11,3.6
ЛаBeerРинт,55.6582049,37.5682109,Moscow,1199,62000,9170.86692876812,85,3,12,,11436,80114,15,3500,5,3.8
Форсаж,55.8015302,37.7266258,Moscow,347,94000,5301.989731010761,85,0,16,,12223,99474,25,1800,2,3.6
Медный всадник,55.8917988,37.4483513,Moscow,1209,71000,15319.865846010996,85,6,21,,8249,104612,22,3500,10,3.7
Шоколадница,55.7351492,37.5178934,Moscow,859,79000,3108.6674668241126,85,0,20,,6447,62355,10,1800,3,4.6
Дворик,55.6476531,37.392901,Moscow,363,79000,15201.722362439823,85,4,18,,12495,87040,29,1950,10,4.1
Urban,55.8044145,37.7814848,Moscow,819,94000,8515.254704536374,85,0,7,,5874,116620,28,1950,6,3.9
Поль Бейкери,55.8233681,37.4969072,Moscow,613,71000,7497.5512680196,85,14,24,,13119,65786,10,2100,1,4.1
СССР,55.8086798,37.4941534,Moscow,1338,71000,6629.797557682901,85,4,34,,5053,129064,27,3500,2,3.6
Очаг Гурманов,55.6404496,37.6908193,Moscow,376,62000,10618.893135458446,85,0,2,,10629,62694,18,3500,0,4.4
Unknown,55.8275767,37.9010758,Moscow,1323,94000,16413.75745715766,85,0,0,,8446,81593,26,1950,14,3.8
Му-Му,55.783007,37.720243,Moscow,424,94000,4153.617913476228,85,14,41,,14167,67392,16,1700,4,3.7
Пекарня Маман,55.783492,37.7210495,Moscow,249,94000,4213.471777712723,85,14,38,,8076,76478,15,2100,4,4.7
Шоколадница,55.7612185,37.5793193,Moscow,576,72000,1697.579596280696,85,5,65,,7479,67942,14,2100,13,4.2
Виктория,55.8599177,37.4484805,Moscow,588,71000,12517.309365056824,85,2,11,,10835,100788,32,2100,2,4.4
Ласточка,55.8740187,37.6366282,Moscow,1133,54000,10784.69369112545,85,1,12,,6839,64495,30,1700,7,4.7
Мечта,55.8719437,37.6719163,Moscow,323,94000,10720.650683851865,85,0,9,,6687,81239,21,1700,14,4.3
Loave,55.7415788,37.6283784,Moscow,937,62000,1294.225696383009,85,25,118,,9844,62134,16,1950,11,3.6
Unknown,55.9039251,37.5859374,Moscow,1253,54000,13927.190530541237,85,1,7,,8358,91756,44,2000,6,3.8
Твое кафе,55.7590525,37.7084841,Moscow,1307,68000,3166.9324181099014,85,1,36,,8583,127092,26,2300,5,4.3
Штолле,55.767666,37.5926032,Moscow,478,77000,888.9220237988975,85,16,145,,10969,69427,37,1950,7,3.8
Шоколадница,55.7673084,37.5933715,Moscow,472,77000,830.6324945802488,85,17,150,,5031,89710,34,1700,9,4.2
Айва,55.7629854,37.5880591,Moscow,342,72000,1128.0279249216494,85,8,95,,9544,94985,15,3500,4,4.6
Даблби,55.7667104,37.6107617,Moscow,394,77000,353.40992861639677,85,17,163,,11503,90775,40,1700,6,3.6
Алтаргана,55.7673462,37.6522939,Moscow,1326,94000,977.0309516444821,85,5,142,,5498,70521,41,1950,1,3.7
Взлет,55.810912,37.4990295,Moscow,379,71000,6513.970229465931,85,5,41,,12526,90748,26,1950,11,4.6
Общежитие МАИ,55.8128478,37.494602,Moscow,554,71000,6864.156754231432,85,1,33,,10226,92122,34,2000,9,4.3
Unknown,55.6777353,37.6588261,Moscow,901,62000,6078.584285920353,85,3,15,,9002,85984,30,2100,3,3.8
Чебуречная № 1,55.6775693,37.66028,Moscow,1282,62000,6117.648433844645,85,6,16,,12849,109010,11,1900,1,4.4
Уйгурское Кафе,55.8160235,37.3651515,Moscow,1188,71000,14351.1514838302,85,0,22,,14408,87726,33,3500,4,4.3
Unknown,55.702286,37.531996,Moscow,337,79000,5078.038107619683,85,3,15,,8119,85025,13,2300,11,4.1
Факультет,55.703591,37.529905,Moscow,1291,79000,5001.965809650666,85,3,10,,7237,83799,29,2300,11,4.4
Шоколадница,55.6932599,37.5336446,Moscow,980,79000,5974.049456639542,85,11,26,,5302,61018,42,1800,2,4.3
Шоколадница,55.7409522,37.6276453,Moscow,697,62000,1252.0424532746429,85,24,122,,14413,128644,12,1800,2,4.2
Шоколадница,55.8461495,37.4387397,Moscow,1479,71000,11895.333203216547,85,3,29,,8676,120412,42,1700,13,4.1
Надин,55.7589836,37.6173425,Moscow,464,89000,236.01930534904582,85,15,149,,14014,92115,11,2100,10,3.7
Чебуречная СССР,55.8051354,37.5107086,Moscow,1087,71000,5548.035541337236,85,12,54,,13359,129192,19,2300,8,4.7
Гаврош,55.7345371,37.4884003,Moscow,1276,79000,4909.102143059079,85,0,11,,9650,99261,41,2300,11,3.7
Шоколадница,55.7390749,37.4846421,Moscow,682,79000,5059.697599349384,85,2,17,,14604,72110,37,1900,0,4.6
Кофе Хауз,55.6182552,37.5070676,Moscow,400,79000,14446.172262105934,85,6,8,,5192,67487,17,2100,9,3.9
Палехский дворик,55.8767037,37.7120284,Moscow,1054,94000,11750.598491446275,85,0,6,,9501,128678,23,2300,13,3.8
Stars Coffee,55.6036933,37.4906682,Moscow,982,79000,16282.71494076643,85,6,8,,5401,73213,17,2400,2,4.6
Аквариум,55.8891575,37.594626,Moscow,702,54000,12257.607472597918,85,2,13,,12281,108992,10,2000,7,4.0
Шоколадница,55.7409749,37.5360004,Moscow,822,79000,1846.0792955060924,85,7,77,,6464,124404,27,2300,9,4.2
El Caracol,55.7852,37.709086,Moscow,1451,94000,3533.43144316093,85,7,58,,8584,96674,42,2300,11,4.4
Гурман,55.7420779,37.5588186,Moscow,421,79000,442.014711331374,85,3,40,,11424,104604,33,3500,5,4.7
Кулинарная лавка братьев Караваевых,55.7658952,37.6322394,Moscow,335,85000,1212.4251825100812,85,17,205,,13592,66830,41,2100,13,4.6
Кулинарная лавка братьев Караваевых,55.7591694,37.6453003,Moscow,1393,68000,830.4051576697689,85,30,213,,5982,70990,43,1800,12,3.6
Кулинарная лавка братьев Караваевых,55.7626987,37.5892139,Moscow,447,72000,1060.0544142498793,85,9,97,,14519,62317,14,1800,2,3.7
Му-Му,55.8081589,37.6384319,Moscow,925,94000,3722.8812584216785,85,5,25,,11896,86809,27,2000,11,3.9
Шоколадница,55.8085513,37.6363308,Moscow,1248,94000,3803.041126973721,85,6,25,,11877,68047,32,1800,4,4.5
Floo,55.7687885,37.5893563,Moscow,1383,71000,972.5939447624224,85,12,142,,12445,126077,25,2000,3,4.1
Шантимель,55.8267194,37.4467822,Moscow,381,71000,10203.399504774005,85,4,11,,11230,112726,49,1900,4,4.5
Андиамо,55.6869871,37.5355596,Moscow,383,79000,6602.296354800058,85,0,33,,5663,97192,34,1700,2,4.2
Kitchen,55.7582211,37.4191351,Moscow,215,79000,9264.074659870352,85,0,7,,9454,103590,20,1950,1,4.7
Unknown,55.7698272,37.4830885,Moscow,1120,79000,5874.964316687109,85,0,5,,8832,63381,34,1800,0,4.2
Архитектор,55.7699843,37.5937454,Moscow,784,77000,945.9316714875353,85,17,156,,6844,78093,12,2000,2,3.9
Папа Джонс,55.7432939,37.50604,Moscow,598,79000,3691.2147425511553,85,11,43,,13558,83595,17,2100,8,4.6
Чачапури,55.8697285,37.630399,Moscow,1334,54000,10243.307952292414,85,0,6,,5372,62709,32,1900,14,4.8
Пронто,55.8706639,37.5904446,Moscow,354,54000,10218.083524053116,85,0,3,,8249,108083,49,1900,0,3.7
Обжорка,55.7079851,37.3644093,Moscow,1007,79000,13183.83504405623,85,0,10,,10911,104559,15,2100,3,4.5
Sous,55.8747675,37.5878456,Moscow,584,54000,10685.493275097182,85,0,4,,12551,85096,21,1900,3,4.4
Штолле,55.8111129,37.638425,Moscow,604,94000,4039.5178192883154,85,4,25,,7995,92755,32,2400,8,4.4
Сытый лось,55.6657973,37.6511706,Moscow,1153,62000,7304.385765842544,85,0,3,,13118,88366,22,2300,10,4.8
Булка,55.7737934,37.5860675,Moscow,909,71000,379.2787727036655,85,24,186,,5041,101058,20,2300,5,4.4
Триумф и ВитаминКафе,55.6754069,37.8917876,Moscow,481,62000,17119.04909992841,85,1,6,,14382,68207,12,1950,8,4.7
Unknown,55.6761382,37.8937842,Moscow,969,62000,17206.62868461277,85,2,10,,10362,115247,45,1950,13,4.4
Шоколадница,55.8074121,37.6376851,Moscow,800,94000,3656.7416758502163,85,4,24,,6773,84320,31,1900,0,4.3
Unknown,55.8226861,37.3644936,Moscow,620,71000,14629.707304832864,85,1,25,,5550,64811,20,1950,13,4.7
Капли,55.8648069,37.6042686,Moscow,1101,54000,9542.34424426013,85,8,9,,6038,127440,27,3500,3,3.8
Карамель,55.5480669,37.5505158,Moscow,480,62000,21052.89210524729,85,4,12,,7896,116844,28,1800,4,4.2
Шоколадница,55.6832512,37.4919947,Moscow,345,79000,8157.3184201334925,85,1,11,,9861,125266,38,2300,4,4.2
Домашний,55.8009625,37.5865861,Moscow,1479,54000,2625.3617628978545,85,6,98,,7297,124542,45,1950,3,4.8
Фестивальное,55.7544221,37.6228179,Moscow,1325,89000,513.9679247238881,85,10,130,,6101,102031,46,1700,13,4.1
Unknown,55.5840124,37.6585419,Moscow,1231,62000,16400.04170101743,85,1,4,,10664,61349,38,2000,12,4.6
Unknown,55.609362,37.6051752,Moscow,1230,62000,13671.96906872337,85,2,10,,14356,105947,48,1700,11,4.1
Багеттерия,55.7091356,37.6219655,Moscow,1419,62000,2607.1800634120764,85,30,67,,12352,86797,19,2300,4,4.2
Поль Бейкери,55.7093969,37.6223362,Moscow,611,62000,2571.724199760713,85,30,65,,10223,126831,16,2400,6,4.6
Шоколадница,55.7079507,37.6222314,Moscow,460,62000,2724.7636890996378,85,27,62,,8649,119248,20,1900,12,4.0
Lux cafe,55.7080597,37.6218884,Moscow,280,62000,2720.7637799389786,85,27,65,,7378,104029,31,1700,13,3.6
Баскин Роббинс,55.7091282,37.6223071,Moscow,704,62000,2600.299643822979,85,30,67,,13346,116079,14,1950,8,3.6
кремлевский экспресс,55.7093922,37.6220148,Moscow,667,62000,2579.467692631531,85,30,65,,14234,121978,40,2000,11,4.7
УДОНъяСАН,55.7093406,37.6220093,Moscow,1025,62000,2584.9382625512944,85,30,66,,14932,112617,34,2100,2,4.6
Кофетун,55.707847,37.6222844,Moscow,1077,62000,2734.4925431741826,85,27,62,,7365,85253,36,2400,0,3.9
Техас Чикен,55.7092401,37.6219747,Moscow,1234,62000,2596.1384978587994,85,30,66,,6626,66998,17,1900,7,3.6
Ташир Пицца,55.7094982,37.6220254,Moscow,777,62000,2568.249476052356,85,33,65,,11324,60465,34,2300,14,3.6
Кебаб Тун,55.7094503,37.6220185,Moscow,1036,62000,2573.3663682564625,85,32,65,,11526,129722,28,2300,4,4.2
Шарм,55.7079682,37.6219598,Moscow,1488,62000,2728.758495021908,85,27,62,,14025,69593,22,2100,8,4.4
Венский Штрудель,55.7091655,37.6223129,Moscow,1220,62000,2596.292005928241,85,30,67,,14247,121346,21,2100,12,4.4
Кофе Хауз,55.709483,37.6223537,Moscow,790,62000,2562.3909478583237,85,32,65,,9650,109238,32,3500,1,3.9
Сушитун,55.7078489,37.6222176,Moscow,911,62000,2735.7066458684208,85,27,62,,13721,80339,37,2100,9,4.4
Пивбар 6/9,55.7611536,37.6240418,Moscow,371,89000,682.986878358045,85,24,176,,10993,68104,37,3500,13,3.9
Unknown,55.7677056,37.4047502,Moscow,375,79000,10367.777111116633,85,0,2,,12436,98084,21,1900,0,3.7
Шаурма 24,55.8910558,37.7271052,Moscow,1030,94000,13562.871195593341,85,0,3,,6935,94162,45,1700,11,3.8
French Kiss,55.735131,37.61281,Moscow,307,62000,1582.6203598988302,85,7,96,,9390,86495,31,2100,0,4.7
A'petit,55.7738478,37.5990744,Moscow,496,54000,601.4051769376463,85,14,242,,7040,96899,46,1800,12,3.9
Stars Coffee,55.7949773,37.7125119,Moscow,902,94000,4169.3178850513095,85,8,32,,5786,126363,36,2100,9,3.8
Буржуй,55.7748626,37.6718904,Moscow,809,94000,1063.8741353025637,85,19,105,,13348,111705,28,1800,3,3.9
Кофе Хауз,55.7279643,37.4493719,Moscow,465,79000,7455.103951600521,85,3,4,,6505,119376,36,1950,2,4.4
Лебединое озеро,55.885494,37.4205512,Moscow,1192,71000,15802.915278979512,85,1,10,,8490,77576,46,1700,1,4.6
Флэшбэк-2,55.8757288,37.6220999,Moscow,1334,54000,10828.765691193288,85,0,4,,13343,125084,36,1800,7,4.1
Клюква,55.7839536,37.8707379,Moscow,1259,94000,13519.680927997857,85,0,8,,5429,60343,20,2000,3,4.4
Гранд,55.8495072,37.4445068,Moscow,553,71000,11872.74887987833,85,11,30,,13618,114603,20,2300,4,4.4
Шоколадница,55.8651596,37.6615003,Moscow,1232,94000,9922.407328809342,85,1,5,,14012,111936,48,2100,12,4.8
Surf Coffee,55.7246075,37.5624248,Moscow,1447,79000,2162.3663130892805,85,9,36,,7794,83042,14,1900,6,4.4
Рай,55.6444778,37.7115551,Moscow,489,62000,10695.744236016984,85,0,7,,13284,69579,21,2300,0,3.5
Шоколадница,55.7305611,37.6116567,Moscow,760,62000,1587.5419865346983,85,9,82,,11915,95416,19,1950,10,3.8
Megapolis,55.7990827,37.6129023,Moscow,1088,54000,2334.7979243108175,85,3,28,,7395,110680,45,1800,1,4.2
Кофе Хауз,55.6536211,37.6206341,Moscow,590,62000,8665.063334890418,85,2,13,,7603,88804,16,2300,5,4.0
Шоколадница,55.6539117,37.620604,Moscow,532,62000,8633.202010567704,85,2,13,,11026,85976,12,1950,14,3.5
Сбарро,55.6536925,37.6205751,Moscow,248,62000,8657.618665348526,85,2,13,,10985,104581,27,1700,9,3.8
Паутина,55.6474769,37.7238214,Moscow,911,62000,10764.213562391933,85,1,6,,11877,71152,20,2000,2,3.6
Карина,55.6474613,37.7233698,Moscow,845,62000,10751.430676012082,85,1,6,,11150,98573,29,1900,9,4.2
Алло! Пицца,55.7843102,37.4737842,Moscow,1150,71000,6939.7685476985425,85,1,9,,6423,66003,40,1800,14,4.0
Чеми,55.7847828,37.4561101,Moscow,260,71000,8043.833200859126,85,0,7,,13470,128055,36,2100,8,4.5
Штолле,55.7938566,37.4923304,Moscow,378,71000,6030.268194828629,85,10,21,,12942,125407,49,2400,0,4.5
Шоколадница,55.7947761,37.4948471,Moscow,460,71000,5914.230494894561,85,8,21,,14924,87745,14,2300,5,3.8
Шоколадница,55.77306,37.6786196,Moscow,941,94000,1512.9511198461635,85,23,91,,6035,99146,37,1800,4,4.3
Фрэндс,55.6519495,37.5085339,Moscow,283,79000,10829.905063509006,85,8,19,,14155,111249,25,1700,1,3.6
Ягодка,55.5852454,37.7325671,Moscow,1376,62000,17280.321547014006,85,1,6,,9195,89203,21,1900,8,3.8
Unknown,55.6241352,37.6089272,Moscow,999,62000,12012.468197374037,85,5,8,,8465,99174,38,1700,9,3.7
Бакинский дворик,55.7112592,37.507018,Moscow,837,79000,5141.565924002902,85,1,17,,12448,70114,34,1700,2,3.8
27 часов,55.7675148,37.8581701,Moscow,928,68000,12577.376796236606,85,0,16,,9672,87935,39,1900,13,4.8
Свой Круг,55.7260802,37.6470552,Moscow,1474,62000,834.0751116426052,85,6,77,,14904,103935,49,1800,9,4.4
Ханой Фуд,55.738663,37.6609498,Moscow,1470,62000,1724.5901970888597,85,15,98,,6961,116096,41,1950,1,4.2
Чебуречная,55.7743568,37.5844455,Moscow,638,71000,295.2280548577996,85,29,174,,9872,107898,13,1700,6,3.6
Шоколадница,55.6922365,37.5275538,Moscow,416,79000,6215.326412219358,85,5,24,,5898,93623,40,2400,11,4.0
Neo Tokio,55.8854808,37.4277899,Moscow,1127,71000,15513.617132862708,85,1,8,,10555,77983,48,1950,3,3.9
Хинкальная 53,55.7358898,37.5952501,Moscow,657,79000,2097.350215736247,85,4,59,,14164,119824,24,1700,8,4.1
Старый город,55.8141313,37.7333404,Moscow,512,94000,6477.489122860589,85,1,5,,12045,114370,36,2300,6,3.9
Старт,55.7218771,37.5426065,Moscow,302,79000,2831.4376841678977,85,0,8,,14830,110976,38,2100,9,3.5
Шоколадница,55.7822827,37.7089356,Moscow,1420,94000,3444.414987735568,85,12,55,,6907,99769,21,3500,2,3.9
Домик в деревне,55.6511382,37.385912,Moscow,1435,79000,15250.154941444656,85,0,11,,11490,68591,34,1950,2,3.9
Шоколадница,55.5491422,37.5542228,Moscow,860,62000,20878.27219552173,85,6,12,,8043,82179,40,3500,2,4.4
Burgers pub,55.7941067,37.3903134,Moscow,940,71000,12258.539346616973,85,0,4,,6247,74371,49,3500,12,3.8
Unknown,55.884788,37.6055095,Moscow,1024,54000,11765.130450033232,85,3,11,,6642,128075,41,1700,13,4.2
Му-Му,55.7520464,37.5988331,Moscow,1274,89000,1207.1863700097326,85,21,111,,14725,87005,20,2000,10,3.6
Шоколадница,55.6439048,37.5265314,Moscow,1079,79000,11388.191040392438,85,5,24,,8176,89278,48,1900,8,4.0
Столовая,55.8814294,37.6003315,Moscow,704,54000,11390.10626960079,85,0,11,,9000,128451,24,1700,13,4.3
Гранд кафе,55.8829319,37.604761,Moscow,492,54000,11557.986242984378,85,2,11,,6519,87077,31,1900,9,4.3
Столовая,55.8398717,37.6470964,Moscow,1349,94000,7119.3602717842,85,1,19,,9489,123358,39,3500,12,4.6
Пицца Пиппони,55.6835,37.843364,Moscow,278,62000,13965.89150435565,85,0,7,,6617,66357,48,2400,1,4.6
Хинкальная,55.8628914,37.6074354,Moscow,522,54000,9334.47524929301,85,3,9,,8914,92371,35,1950,8,4.0
Кофейная Кантата,55.8631382,37.6014703,Moscow,1347,54000,9355.79948983118,85,8,9,,11468,77556,21,2100,8,3.8
Суши Сити,55.8882979,37.5883842,Moscow,408,54000,12183.078265716422,85,1,9,,13945,78213,28,1800,0,3.5
Лаферм,55.7395497,37.63042,Moscow,1060,62000,1036.0946845622577,85,18,134,,13876,81955,43,2100,6,3.6
SeDelice,55.8517478,37.4413693,Moscow,725,71000,12185.748501769027,85,13,31,,7084,127945,41,1950,9,4.8
Рандеву,55.8518386,37.4420206,Moscow,1477,71000,12162.921074055574,85,13,32,,14560,93587,19,1900,2,4.7
Аморино,55.852268,37.4462085,Moscow,1265,71000,12006.635299820064,85,10,33,,10307,80335,46,1800,5,4.0
Рай,55.8971527,37.5422896,Moscow,1454,71000,13611.85704842054,85,2,5,,8362,109935,37,1700,9,4.8
Ночной дворик,55.7659488,37.8219042,Moscow,416,68000,10302.44428285107,85,0,3,,5744,115389,21,1800,10,3.8
ЛаГатта,55.8505364,37.4220093,Moscow,1350,71000,13011.34838482107,85,1,11,,11285,123259,35,2100,9,4.3
Парус,55.8507117,37.4309285,Moscow,246,71000,12595.414254562986,85,2,32,,11775,124453,26,2300,3,3.6
Алоха,55.7430993,37.6300845,Moscow,546,85000,1335.8172204930454,85,26,101,,6907,89003,43,2400,2,4.4
Гелена,55.819211,37.7233386,Moscow,1109,94000,6429.002194931529,85,0,5,,10294,108022,25,3500,10,4.2
Big City,55.8481546,37.6192177,Moscow,536,54000,7764.521889471996,85,4,19,,10375,120318,17,2100,1,4.0
Аллея,55.8531546,37.6074492,Moscow,402,54000,8252.64020018462,85,0,10,,14005,125620,22,2000,11,3.6
Unknown,55.5718301,37.3567086,Moscow,317,79000,23178.094695373748,85,0,0,,6946,70993,37,2300,11,4.5
Дива,55.6823958,37.8995203,Moscow,952,68000,17251.741716590222,85,2,12,,9288,65246,22,3500,7,3.7
Unknown,55.7680837,37.4965635,Moscow,680,79000,5050.597749391727,85,0,5,,12355,86829,10,2400,7,4.0
Волконский,55.7657175,37.5911035,Moscow,606,77000,935.2806483026827,85,14,130,,13196,67314,29,1700,10,3.7
Unknown,55.6744032,37.4724303,Moscow,483,79000,9670.547587227891,85,2,6,,11470,121053,31,2300,12,4.0
Восток,55.8106977,37.476493,Moscow,532,71000,7694.349879627582,85,0,15,,10944,104460,45,1800,1,4.7
Кафе де Пари,55.546241,37.7088364,Moscow,1299,62000,21033.129040261232,85,0,1,,8689,105764,28,2400,13,3.7
Дворик,55.8389027,37.4068941,Moscow,1309,71000,13032.949134435607,85,0,4,,7072,73403,16,1800,7,4.5
Улыбка,55.8484472,37.4236813,Moscow,1093,71000,12784.826394098365,85,1,12,,11660,107168,31,2400,8,4.1
Unknown,55.8044744,37.6381093,Moscow,840,94000,3337.6492849520337,85,3,20,,8324,85428,11,1800,11,3.5
Флокс кафе,55.8884529,37.5880548,Moscow,559,54000,12201.722206471693,85,1,9,,6128,87448,45,2300,4,4.0
Шоколадница,55.7517713,37.5988304,Moscow,787,89000,1221.599104289928,85,21,115,,8993,125789,34,1800,14,3.7
Шоколадница,55.7499909,37.5936839,Moscow,817,89000,1599.209758142544,85,19,122,,13027,84222,20,1950,11,3.6
Unknown,55.683789,37.6241951,Moscow,428,62000,5310.565315364391,85,6,16,,11293,121335,20,2000,8,4.7
Хорошее место,55.7044378,37.6918941,Moscow,1447,62000,4532.623429061196,85,3,17,,8421,78308,22,1800,11,4.3
Не только Хлеб,55.7780118,37.5873204,Moscow,1205,71000,236.16806275139717,85,14,220,,11355,90032,21,3500,13,3.8
F1,55.6458704,37.560827,Moscow,1288,62000,10601.917319498709,85,1,5,,13255,111232,12,2400,10,4.7
Coffee Bean,55.7452044,37.6272489,Moscow,906,85000,1147.1429235528915,85,25,88,,13341,69950,49,1950,6,3.7
Unknown,55.8932828,37.7243658,Moscow,629,94000,13741.784365387883,85,0,3,,14553,122194,13,2300,2,4.7
Вель,55.8909651,37.6194176,Moscow,234,54000,12497.368974200243,85,0,10,,8962,96214,23,3500,1,4.3
Unknown,55.5699835,37.5803026,Moscow,975,62000,18254.17290629066,85,2,5,,13082,113517,20,1700,5,4.3
Мир Шашлыков,55.8494084,37.4333553,Moscow,1034,71000,12386.106541058038,85,3,33,,10591,96181,24,1900,13,4.0
Абриколь,55.5836221,37.6824654,Moscow,336,62000,16633.99894883066,85,0,0,,9251,68362,33,2000,10,3.9
Хинкальная Сити,55.8000834,37.5753712,Moscow,777,71000,2622.8352262988683,85,2,70,,13166,115543,19,1950,4,4.7
